player_tm_id,player_name,season,competition,appearances,minutes_played
262749,David Raya,2019/20,Championship,46,4140
262749,David Raya,2019/20,Championship Play-Offs,3,300
262749,David Raya,2021/22,Premier League,24,2160
262749,David Raya,2021/22,FA Cup,1,90
262749,David Raya,2023/24,Premier League,32,2880
262749,David Raya,2023/24,UEFA Champions League,9,840
262749,David Raya,2024/25,Premier League,38,3420
262749,David Raya,2024/25,UEFA Champions League,13,1170
262749,David Raya,2024/25,EFL Cup,3,270
262749,David Raya,2024/25,FA Cup,1,120
